P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,S_NAME,S_MAG,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_ESI
HATS-62 b,56.891213,11.82655,3.2768837,0.04163,0.298,HATS-62,14.015,0.133,0.9,0.93,,9.55,5416,4.8104656,0.40675139,0.034393072,0.043478455,403.04213,1121.9262,Jovian,0.66675943,2.2046942,1.0516464,0.50308292,0.077345017
HATS-63 b,305.11488,13.53047,3.0566527,0.04026,0.136,HATS-63,13.892,0.081,0.93,1.07,,10.3,5627,22.550206,1.666624,0.12317562,0.040632324,640.42796,1277.1574,Jovian,1.0284042,2.7380773,1.527733,0.51506103,0.067949774
HATS-64 b,305.11488,18.82159,4.908897,0.06562,0.151,HATS-64,12.924,0.22,1.56,2.11,,1.861,6554,16.210898,0.86129271,0.04576089,0.066368101,1729.081,1635.7763,Jovian,7.3600253,7.3249291,8.9244067,0.46014082,0.049718486
HATS-65 b,260.93679,16.82621,3.105161,0.04497,0.062,HATS-65,12.497,0.199,1.26,1.31,,1.78,6277,15.507758,0.92164295,0.054774245,0.045056432,1182.5794,1492.9283,Jovian,2.3869304,4.1714174,5.1640051,0.42535514,0.055324899
HATS-66 b,1694.0233,15.81731,3.1414391,0.04714,0.064,HATS-66,14.095,-0.017,1.41,1.84,,2.17,6626,107.09933,6.7710202,0.4280766,0.047236543,2636.5871,1824.1952,Jovian,5.8469586,6.5287311,9.7648299,0.45643033,0.057987
HATS-67 b,460.8506,18.88885,1.6091788,0.03032,0.057,HATS-67,13.653,0.332,1.44,1.44,,0.51,6594,24.398023,1.2916627,0.068382284,0.030369255,3826.993,2002.6007,Jovian,3.5124439,5.0602092,9.3075784,0.36108327,0.049224093
HATS-68 b,409.99812,13.81072,3.5862202,0.05071,0.036,HATS-68,12.276,0.21,1.35,1.75,,3.02,6147,29.686948,2.1495583,0.15564419,0.05074286,1524.4458,1591.5391,Jovian,3.9175775,5.3440753,4.2264824,0.47533951,0.065778424
HATS-69 b,183.38676,10.59345,2.2252577,0.03211,0.519,HATS-69,13.945,0.377,0.89,0.88,,8,5137,17.311335,1.6341545,0.15426084,0.036434591,548.22674,1163.9624,Jovian,0.48316143,1.876765,0.6487619,0.48663481,0.084175795
HATS-70 b,4099.9812,15.51464,1.8882378,0.03632,0.18,HATS-70,12.574,0.041,1.78,1.88,,0.81,7930,264.26531,17.033287,1.0978848,0.036908384,9650.6704,2509.6267,Jovian,12.522675,9.5545958,99.159913,0.41858051,0.058712969
HATS-8 b,43.860264,9.78633,3.583893,0.04667,0.376,HATS-8,14.03,0.21,1.06,1.09,,5.1,5679,4.4817888,0.4579642,0.046796317,0.049969009,548.5952,1198.6485,Jovian,1.1072077,2.8410464,1.7449643,0.47854394,0.089979155
HD 202772 A b,323.23108,17.31945,3.308958,0.05208,0.038,HD 202772 A,,0.3,1.72,2.59,,1.7,6272,18.662895,1.0775686,0.062217251,0.052117602,3431.5016,1949.388,Jovian,9.3006301,8.2341725,5.6794817,0.46824787,0.053319839
HD 219666 b,16.600157,4.7082,6.03607,0.06356,0,HD 219666,,0.04,0.92,1.03,,10,5527,3.5257968,0.748863,0.15905505,0.06356,219.55998,980.69329,Neptunian,0.88699456,2.5428705,1.2819486,0.51068619,0.16215706
HD 2685 b,371.85876,16.1424,4.12688,0.0568,0.091,HD 2685,,0.02,1.43,1.56,,1.31,6801,23.036151,1.4270586,0.088404364,0.05703518,1451.9042,1570.1918,Jovian,4.6647561,5.8314726,13.251783,0.421582,0.057259047
K2-111 b,8.6004258,1.9057,5.35117,0.0621,0,K2-111,11.137,-0.53,0.88,1.23,,10.77,5730,4.5130009,2.3681591,1.2426715,0.0621,378.90833,1124.0314,Superterran,1.4612259,3.2637918,1.7901833,0.50943449,0.26289272
K2-132 b,155.73572,14.573,9.1751,,,K2-132,11.897,-0.01,1.08,3.85,,8.5,4840,10.686593,0.73331456,0.050320082,0.087981497,941.47514,1411.2278,Jovian,7.2877179,7.288859,0.41543162,0.52432743,0.063143798
K2-232 b,126.49555,11.21,11.168454,0.10356,0.258,K2-232,9.899,0.1,1.19,1.16,,1.43,6154,11.28417,1.0066164,0.089796289,0.10700668,166.88152,903.99869,Jovian,1.7291577,3.5504309,4.1014708,0.40237392,0.084700676
K2-266 b,11.267003,3.29574,0.658524,0.01306,,K2-266,11.808,-0.12,0.69,0.7,,,4285,3.4186564,1.0372955,0.31473828,0.01306,867.7641,1382.7553,Neptunian,0.14800897,1.0387422,0.13789416,0.40766256,0.19968494
K2-266 d,8.8991841,2.92581,14.697,0.1035,0.047,K2-266,11.808,-0.12,0.69,0.7,,,4285,3.0416138,1.0395801,0.3553136,0.10361432,13.832082,491.11901,Neptunian,0.14800897,1.0387422,0.13789416,0.40766256,0.2967443
K2-266 e,14.299082,2.73524,19.482,0.1249,0.043,K2-266,11.808,-0.12,0.69,0.7,,,4285,5.2277247,1.911249,0.69875002,0.12501547,9.4965319,447.08024,Neptunian,0.14800897,1.0387422,0.13789416,0.40766256,0.34005981
